node_id,party,category
abaerbockarchiv,Bündnis 90/Die Grünen,Politician
arminlaschet,CDU,Politician
die_gruenen,Bündnis 90/Die Grünen,Politician
olafscholz,SPD,Politician
karl_lauterbach,SPD,Politician
cdu,CDU,Political Party
derspiegel,,Politician
spdde,SPD,Politician
markus_soeder,CSU,Politician
c_lindner,FDP,Politician
fdp,FDP,Political Party
prosieben,,Politician
zdf,,Politician
cem_oezdemir,Bündnis 90/Die Grünen,Politician
dielinke,DIE LINKE,Politician
bild,,Politician
jensspahn,CDU,Politician
welt,,Politician
csu,CSU,Political Party
_friedrichmerz,CDU,Politician
daserste,,Politician
bmg_bund,NA,Other
auschwitzmuseum,,Politician
jholofernes,,Politician
paulziemiak,CDU,Politician
tagesschau,,Politician
anjakarliczek,CDU,Politician
fridayforfuture,,Politician
rahmstorf,,Politician
bpb_de,,Politician
ntvde,,Politician
gruene_sachsen,,Politician
rki_de,,Politician
larsklingbeil,SPD,Politician
mikellner,Bündnis 90/Die Grünen,Politician
afd,AfD,Political Party
eskensaskia,SPD,Politician
franziskagiffey,SPD,Politician
alice_weidel,AfD,Politician
campact,,Politician
fabiodemasi,DIE LINKE,Politician
reinerhaseloff,CDU,Politician
janine_wissler,DIE LINKE,Politician
dietmarbartsch,DIE LINKE,Politician
peteraltmaier,CDU,Politician
marcobuschmann,FDP,Politician
brihasselmann,Bündnis 90/Die Grünen,Politician
goeringeckardt,Bündnis 90/Die Grünen,Politician
spdberlin,SPD,Politician
cducsubt,CDU,Politician
cducsubt,CSU,Politician
rbrinkhaus,CSU,Politician
swagenknecht,DIE LINKE,Politician
spdbt,SPD,Politician
sven_kindler,Bündnis 90/Die Grünen,Politician
bettina_jarasch,Bündnis 90/Die Grünen,Politician
markusblume,CSU,Politician
gruenebundestag,Bündnis 90/Die Grünen,Politician
kuehnikev,SPD,Politician
derdanyal,Bündnis 90/Die Grünen,Politician
piratenpartei,Piratenpartei,Political Party
heikomaas,SPD,Politician
wissing,FDP,Politician
klauslederer,DIE LINKE,Politician
vonderleyen,CDU,Politician
dorobaer,CSU,Politician
joanacotar,AfD,Politician
manuelaschwesig,SPD,Politician
voltdeutschland,Volt Deutschland,Political Party
hubertus_heil,SPD,Politician
akk,CDU,Politician
akk,CSU,Politician
sandra_weeser,FDP,Politician
konstantinkuhle,FDP,Politician
bodoramelow,DIE LINKE,Politician
sven_giegold,Bündnis 90/Die Grünen,Politician
juliakloeckner,CDU,Politician
oliver_krischer,Bündnis 90/Die Grünen,Politician
svenlehmann,Bündnis 90/Die Grünen,Politician
cduberlin,CDU,Politician
andreasscheuer,CSU,Politician
matthiashauer,CDU,Politician
jankortemdb,DIE LINKE,Politician
greenpeace_de,,Politician
abaerbock,Bündnis 90/Die Grünen,Politician
katharinakoenig,DIE LINKE,Politician
tino_chrupalla,AfD,Politician
johannesvogel,FDP,Politician
fdpbt,FDP,Politician
beatrix_vstorch,AfD,Politician
kaiwegner,CDU,Politician
radtkemdep,CDU,Politician
irenemihalic,Bündnis 90/Die Grünen,Politician
georg_pazderski,AfD,Politician
ninastahr,Bündnis 90/Die Grünen,Politician
katjakipping,DIE LINKE,Politician
katarinabarley,SPD,Politician
