electoral_period,network_type,count,mean,std,min,25%,50%,75%,max
Non-Electoral,all,9.0,0.13128028690089033,0.009049616305374764,0.11752813826147492,0.1251353241530031,0.12873448952102032,0.13777824450884832,0.1469405747079218
Non-Electoral,climate,9.0,0.16484321574663885,0.01168730789072646,0.14641316794979573,0.159136474330848,0.16181747664341575,0.17419338249483268,0.1825846254991047
Non-Electoral,migration,9.0,0.1676819705552711,0.012354043729192599,0.150701149406582,0.16134951431221775,0.16389627628040293,0.1757618248739593,0.19217777845064332
Pre-Campaign,all,6.0,0.15284219620447978,0.018836560020161534,0.131529917411608,0.1417349262209603,0.1505961206808793,0.1575241735925952,0.18571629915602422
Pre-Campaign,climate,6.0,0.18832019881766301,0.022018079650559772,0.16226360825368194,0.17519388380266812,0.1838155098870931,0.19919706281116295,0.22338230931773045
Pre-Campaign,migration,6.0,0.1872194605727132,0.020374282653361078,0.16358020341724036,0.17384717425488977,0.18472495368789887,0.19608069645913456,0.22019946081647443
Campaign,all,3.0,0.1877265605262576,0.018391183443880518,0.1764894858963703,0.17711454004990448,0.17773959420343866,0.19334509784120127,0.20895060147896388
Campaign,climate,3.0,0.24619570142421732,0.029867946281909887,0.22191144084677675,0.22952038912064923,0.23712933739452172,0.2583378317129376,0.2795463260313535
Campaign,migration,3.0,0.24651952457536344,0.02479025603627296,0.2266965297390763,0.2326216920608472,0.23854685438261813,0.25643102199350704,0.27431518960439594
Intensive Campaign,all,2.0,0.21042562249744667,0.011258127539062955,0.20246492417111223,0.20644527333427945,0.21042562249744667,0.21440597166061387,0.2183863208237811
Intensive Campaign,climate,2.0,0.2658138008416474,0.01093443776157787,0.25808198575197344,0.26194789329681045,0.2658138008416474,0.26967970838648436,0.2735456159313214
Intensive Campaign,migration,2.0,0.26516997450542396,0.015007880442367413,0.254557800473389,0.2598638874894065,0.26516997450542396,0.27047606152144144,0.2757821485374589
Final Sprint,all,1.0,0.18111549810708283,,0.18111549810708283,0.18111549810708283,0.18111549810708283,0.18111549810708283,0.18111549810708283
Final Sprint,climate,1.0,0.23115915443189883,,0.23115915443189883,0.23115915443189883,0.23115915443189883,0.23115915443189883,0.23115915443189883
Final Sprint,migration,1.0,0.23574402183092397,,0.23574402183092397,0.23574402183092397,0.23574402183092397,0.23574402183092397,0.23574402183092397
Post-Election,all,3.0,0.20729257961558226,0.03206196351385801,0.17166439254740545,0.19402824817112108,0.21639210379483667,0.22510667314967064,0.23382124250450464
Post-Election,climate,3.0,0.2307252439719268,0.04348370093539522,0.18125660097006296,0.21463409789977578,0.2480115948294886,0.2554595654728587,0.2629075361162288
Post-Election,migration,3.0,0.2416173524825149,0.044197846826903406,0.19164005477450313,0.22464664699800613,0.2576532392215091,0.2666060013365208,0.2755587634515324
